x,y,flux(W/m2)
16.725,0.075,9.15809
16.675,0.075,9.67093
16.625,0.075,10.1137
16.575,0.075,10.6109
16.525,0.075,11.1192
16.475,0.075,11.6544
16.425,0.075,12.1024
16.375,0.075,12.4424
16.325,0.075,12.844
16.275,0.075,13.2759
16.225,0.075,13.708
16.175,0.075,13.9929
16.125,0.075,14.1402
16.075,0.075,14.3107
16.025,0.075,14.493
15.975,0.075,14.6025
15.925,0.075,14.6597
15.875,0.075,14.7661
15.825,0.075,14.7583
15.775,0.075,14.6806
15.725,0.075,14.5515
15.675,0.075,14.3665
15.625,0.075,14.1678
15.575,0.075,13.9609
15.525,0.075,13.6708
15.475,0.075,13.2874
15.425,0.075,12.7738
15.375,0.075,12.2993
15.325,0.075,11.8842
15.275,0.075,11.5285
15.225,0.075,11.1259
15.175,0.075,10.605
15.125,0.075,10.1621
15.075,0.075,9.64874
15.025,0.075,9.15792
14.975,0.075,8.56408
14.925,0.075,8.00957
14.875,0.075,7.47112
14.825,0.075,6.99403
14.775,0.075,6.56905
14.725,0.075,6.1556
14.675,0.075,5.7111
14.625,0.075,5.23962
14.575,0.075,4.80584
14.525,0.075,4.41459
14.475,0.075,4.04245
14.425,0.075,3.69726
14.375,0.075,3.37028
14.325,0.075,3.07186
14.275,0.075,2.79096
14.225,0.075,2.52136
14.175,0.075,2.2729
14.125,0.075,2.05687
14.075,0.075,1.85498
14.025,0.075,1.64571
13.975,0.075,1.47575
13.925,0.075,1.34153
13.875,0.075,1.21625
13.825,0.075,1.08857
13.775,0.075,0.960474
13.725,0.075,0.870394
13.675,0.075,0.784244
13.625,0.075,0.696717
13.575,0.075,0.636109
13.525,0.075,0.574033
13.475,0.075,0.519653
13.425,0.075,0.477827
13.375,0.075,0.441847
13.325,0.075,0.403074
13.275,0.075,0.36542
13.225,0.075,0.34221
13.175,0.075,0.327438
13.125,0.075,0.328085
13.075,0.075,0.329899
13.025,0.075,0.319707
12.975,0.075,0.292696
12.925,0.075,0.263786
12.875,0.075,0.248009
12.825,0.075,0.245649
12.775,0.075,0.240388
12.725,0.075,0.235089
12.675,0.075,0.220739
12.625,0.075,0.202434
12.575,0.075,0.18967
12.525,0.075,0.185811
12.475,0.075,0.172944
12.425,0.075,0.163549
12.375,0.075,0.160185
12.325,0.075,0.155756
12.275,0.075,0.147885
12.225,0.075,0.137729
12.175,0.075,0.131754
12.125,0.075,0.137257
12.075,0.075,0.140685
12.025,0.075,0.137559
11.975,0.075,0.124867
11.925,0.075,0.112217
11.875,0.075,0.109167
11.825,0.075,0.109617
11.775,0.075,0.102361
11.725,0.075,0.0984163
11.675,0.075,0.0958409
11.625,0.075,0.0925376
11.575,0.075,0.0857664
11.525,0.075,0.0798131
11.475,0.075,0.0756754
11.425,0.075,0.0697478
11.375,0.075,0.0683927
11.325,0.075,0.0660985
11.275,0.075,0.0618781
11.225,0.075,0.0551571
11.175,0.075,0.0500071
11.125,0.075,0.0534903
11.075,0.075,0.0569161
11.025,0.075,0.0572871
10.975,0.075,0.0506246
10.925,0.075,0.0418256
10.875,0.075,0.0370092
10.825,0.075,0.0345946
10.775,0.075,0.0350903
10.725,0.075,0.0369701
10.675,0.075,0.0343119
10.625,0.075,0.0317005
10.575,0.075,0.0319072
10.525,0.075,0.0320714
10.475,0.075,0.0305315
10.425,0.075,0.028225
10.375,0.075,0.0230989
10.325,0.075,0.0212593
10.275,0.075,0.0203377
10.225,0.075,0.0199464
10.175,0.075,0.0190623
10.125,0.075,0.0199746
10.075,0.075,0.0173448
10.025,0.075,0.0154947
9.975,0.075,0.0150022
9.925,0.075,0.0131414
9.875,0.075,0.0125398
9.825,0.075,0.00949698
9.775,0.075,0.00783565
9.725,0.075,0.00741654
9.675,0.075,0.00445953
9.625,0.075,0.00457341
9.575,0.075,0.00608462
9.525,0.075,0.00699732
9.475,0.075,0.00441276
9.425,0.075,0.00402867
9.375,0.075,0.00292848
9.325,0.075,0.00319884
9.275,0.075,0.00317407
9.225,0.075,0.00338485
9.175,0.075,0.00227661
9.125,0.075,0.00230203
9.075,0.075,0.000743509
9.025,0.075,0.000149304
8.975,0.075,6.72509e-05
8.925,0.075,0.000292999
8.875,0.075,0.000490886
8.825,0.075,0.000292387
8.775,0.075,0
8.725,0.075,0
8.675,0.075,0
8.625,0.075,0
8.575,0.075,0
8.525,0.075,0
8.475,0.075,0
8.425,0.075,0
8.375,0.075,0
8.325,0.075,0
8.275,0.075,0
8.225,0.075,0
8.175,0.075,0
8.125,0.075,0
8.075,0.075,0
8.025,0.075,0
7.975,0.075,0
7.925,0.075,0
7.875,0.075,0
7.825,0.075,0
7.775,0.075,0
7.725,0.075,0
7.675,0.075,0
7.625,0.075,0
7.575,0.075,0
7.525,0.075,0
7.475,0.075,0
7.425,0.075,0
7.375,0.075,0
7.325,0.075,0
7.275,0.075,0
7.225,0.075,0
7.175,0.075,0
7.125,0.075,0
7.075,0.075,0
7.025,0.075,0
6.975,0.075,0
6.925,0.075,0
6.875,0.075,0
6.825,0.075,0
6.775,0.075,0
6.725,0.075,0
6.675,0.075,0
6.625,0.075,0
6.575,0.075,0
6.525,0.075,0
6.475,0.075,0
6.425,0.075,0
6.375,0.075,0
6.325,0.075,0
6.275,0.075,0
6.225,0.075,0
6.175,0.075,0
6.125,0.075,0
6.075,0.075,0
6.025,0.075,0
5.975,0.075,0
5.925,0.075,0
5.875,0.075,0
5.825,0.075,0
5.775,0.075,0
5.725,0.075,0
5.675,0.075,0
5.625,0.075,0
5.575,0.075,0
5.525,0.075,0
5.475,0.075,0
5.425,0.075,0
5.375,0.075,0
5.325,0.075,0
5.275,0.075,0
5.225,0.075,0
5.175,0.075,0
5.125,0.075,0
5.075,0.075,0
5.025,0.075,0
4.975,0.075,0
4.925,0.075,0
4.875,0.075,0
4.825,0.075,0
4.775,0.075,0
4.725,0.075,0
4.675,0.075,0
4.625,0.075,0
4.575,0.075,0
4.525,0.075,0
4.475,0.075,0
4.425,0.075,0
4.375,0.075,0
4.325,0.075,0
4.275,0.075,0
4.225,0.075,0
4.175,0.075,0
4.125,0.075,0
4.075,0.075,0
4.025,0.075,0
3.975,0.075,0
3.925,0.075,0
3.875,0.075,0
3.825,0.075,0
3.775,0.075,0
3.725,0.075,0
3.675,0.075,0
3.625,0.075,0
3.575,0.075,0
3.525,0.075,0
3.475,0.075,0
3.425,0.075,0
3.375,0.075,0
3.325,0.075,0
3.275,0.075,0
3.225,0.075,0
3.175,0.075,0
3.125,0.075,0
3.075,0.075,0
3.025,0.075,0
2.975,0.075,0
2.925,0.075,0
2.875,0.075,0
2.825,0.075,0
2.775,0.075,0
2.725,0.075,0
2.675,0.075,0
2.625,0.075,0
2.575,0.075,0
2.525,0.075,0
